outprefix,dataset,njobs,timeinsecs
XGB-CV,GMSC,1,34.441678186
jfr-XGB-CV,GMSC,1,34.880038212
XGB-CV,GMSC,4,25.866933631
jfr-XGB-CV,GMSC,4,26.838630732
XGB-noCV,GMSC,1,10.175229532
jfr-XGB-noCV,GMSC,1,10.923888278
XGB-noCV,GMSC,4,9.234369180
jfr-XGB-noCV,GMSC,4,8.914867351
XGB-noCV,covtypeNorm,1,211.400382348
jfr-XGB-noCV,covtypeNorm,1,208.651350480
XGB-noCV,covtypeNorm,4,90.881144365
jfr-XGB-noCV,covtypeNorm,4,92.308019840
RFC-noCV,covtypeNorm,1,186.912774288
jfr-RFC-noCV,covtypeNorm,1,177.587285042
RFC-noCV,covtypeNorm,4,96.948213892
jfr-RFC-noCV,covtypeNorm,4,93.953533100
RFC-noCV,GMSC,1,45.444837996
jfr-RFC-noCV,GMSC,1,44.973577572
RFC-noCV,GMSC,4,20.567441731
jfr-RFC-noCV,GMSC,4,20.848174656
